# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
bu tai hao 	不太好	c=1 d=0.0615805 t=56430
bu tai xi huan 	不太喜歡	c=1 d=0.946485 t=56430
bu ti gong 	不提供	c=1 d=0.00174675 t=56430
bu ti gong fu wu 	不提供服務	c=1 d=2.7028e-21 t=56430
bu tong 	不同	c=11 d=2.14231 t=56430
bu tong 	不通	c=32 d=1.34545 t=56430
bu tong de 	不同的	c=7 d=3.01114 t=56430
bu tong guo 	不通過	c=3 d=0.458411 t=56430
bu tong qing kuang 	不同情況	c=1 d=0.0323869 t=56430
bu tong ye wu 	不通業務	c=1 d=2.5058e-13 t=56430
bu tong yong 	不通用	c=1 d=0.0528657 t=56430
bu tong zhi 	不同值	c=1 d=0.0023344 t=56430
bu wan 	不玩	c=0 d=0.000814786 t=56430
bu wan mei 	不完美	c=1 d=0.00402593 t=56430
bu wei 	不爲	c=2 d=0.0368832 t=56430
bu wei kong 	不爲空	c=7 d=0.257947 t=56430
bu wei yi 	不唯一	c=1 d=0.00157264 t=56430
bu wu 	不無	c=0 d=0.00780817 t=56430
bu wu liao 	不無聊	c=1 d=0.0784731 t=56430
bu xi guan 	不習慣	c=3 d=0.589729 t=56430
bu xian shi 	不顯示	c=1 d=2.00092e-13 t=56430
bu xian zhi 	不限制	c=1 d=7.71314e-05 t=56430
bu xiang 	不像	c=1 d=0.0152222 t=56430
bu xiang 	不想	c=5 d=1.78904 t=56430
bu xiang 	不香	c=1 d=0.000107825 t=56430
bu xiang zai 	不想在	c=1 d=0.0893673 t=56430
bu xiao xin 	不小心	c=1 d=0.000450569 t=56430
bu xie tiao 	不協調	c=1 d=0.00331267 t=56430
bu xin xian 	不新鮮	c=1 d=0.429557 t=56430
bu xing 	不行	c=14 d=2.66325 t=56430
bu xiu gai 	不修改	c=1 d=3.08284e-10 t=56430
bu xiu ya 	不秀雅	c=1 d=0.865022 t=56430
bu xu yao 	不需要	c=20 d=2.9161 t=56430
bu xue 	不學	c=1 d=2.67317e-09 t=56430
bu yao 	不要	c=19 d=1.04076 t=56430
bu yao ma 	不要嘛	c=1 d=0.826959 t=56430
bu ye hui 	不也會	c=1 d=0.000773179 t=56430
bu ye shi 	不也是	c=1 d=0.970446 t=56430
bu yi yang 	不一樣	c=7 d=0.528179 t=56430
bu yi ying 	不一應	c=1 d=0.08291 t=56430
bu yi zhi 	不一致	c=22 d=1.53502 t=56430
bu ying gai 	不應該	c=5 d=1.0032 t=56430
bu yong 	不用	c=33 d=3.19557 t=56430
bu yong ba 	不用吧	c=1 d=0.110803 t=56430
bu yong le 	不用了	c=1 d=0.00392653 t=56430
bu yu 	不予	c=1 d=0.142274 t=56430
bu yun xu 	不允許	c=19 d=0.970843 t=56430
bu zai 	不再	c=8 d=0.786628 t=56430
bu zai 	不在	c=6 d=0.457767 t=56430
bu zen 	不怎	c=1 d=0.0216013 t=56430
bu zen me 	不怎麼	c=2 d=0.280916 t=56430
bu zen me yong 	不怎麼用	c=1 d=0.000441647 t=56430
bu zeng jia 	不增加	c=1 d=0.0871609 t=56430
bu zheng que 	不正確	c=3 d=0.00956805 t=56430
bu zhi 	不止	c=1 d=0.2334 t=56430
bu zhi 	不知	c=0 d=0.0900325 t=56430
bu zhi chi 	不支持	c=8 d=1.08161 t=56430
bu zhi dao 	不知道	c=45 d=4.67495 t=56430
bu zhi den 	不知㩐	c=1 d=0.904837 t=56430
bu zhi ding 	不指定	c=4 d=1.20007 t=56430
bu zhi jie 	不直接	c=3 d=2.14439e-16 t=56430
bu zhi xing 	不執行	c=1 d=0.00158052 t=56430
bu zhi yi 	不之一	c=1 d=0.00843808 t=56430
bu zhi yu 	不至於	c=2 d=0.173024 t=56430
bu zhi zhi 	不治治	c=1 d=0.0948935 t=56430
bu zhong yao 	不重要	c=1 d=1.89777e-08 t=56430
bu zhou 	步驟	c=4 d=0.0711792 t=56430
bu zhu dong 	不主動	c=1 d=7.82971e-05 t=56430
bu zhun 	不準	c=2 d=0.408608 t=56430
bu zhun que 	不準確	c=2 d=0.00641886 t=56430
bu zou 	不走	c=2 d=0.0234745 t=56430
bu zou 	步驟	c=2 d=0.0231827 t=56430
bu zu 	不足	c=2 d=0.631283 t=56430
bu zu he 	不組合	c=1 d=0.960789 t=56430
bu zuo 	不做	c=2 d=0.960789 t=56430
ca 	擦	c=2 d=0.01649 t=56430
ca ta 	擦她	c=1 d=0.00597602 t=56430
cai 	才	c=30 d=4.78322 t=56430
cai 	菜	c=2 d=0.0534435 t=56430
cai bu shi 	纔不是	c=1 d=0.822835 t=56430
cai dan 	菜單	c=35 d=2.90214 t=56430
cai dan lan 	菜單欄	c=2 d=5.31579e-08 t=56430
cai dao 	菜刀	c=1 d=0.0156858 t=56430
cai de 	猜的	c=1 d=0.304221 t=56430
cai fa xian 	纔發現	c=4 d=1.11489 t=56430
cai guo 	踩過	c=1 d=0.0202419 t=56430
cai hui 	纔會	c=2 d=0.932565 t=56430
cai ji 	採集	c=30 d=0.812958 t=56430
cai ji qi 	採集器	c=1 d=1.28202e-11 t=56430
cai jian 	裁剪	c=1 d=0.985112 t=56430
cai li wo 	才理我	c=1 d=0.0507928 t=56430
cai neng 	才能	c=6 d=0.872806 t=56430
cai niao 	菜鳥	c=1 d=0.110803 t=56430
cai se 	彩色	c=0 d=1.37073e-05 t=56430
cai se de 	彩色的	c=1 d=0.00013776 t=56430
cai shi 	纔是	c=2 d=0.786628 t=56430
cai shi chang 	菜市場	c=1 d=0.0587185 t=56430
cai yong 	採用	c=7 d=0.601473 t=56430
cai you 	纔有	c=2 d=0.697676 t=56430
cai zhi 	材質	c=1 d=0.000513121 t=56430
can 	參	c=7 d=0.261943 t=56430
can 	慘	c=1 d=1.6998e-06 t=56430
can 	餐	c=1 d=0.366045 t=56430
can bu 	餐補	c=1 d=1.20093e-07 t=56430
can chu 	慘出	c=1 d=0.0125881 t=56430
can ji ren 	殘疾人	c=1 d=0.00290884 t=56430
can jian 	參見	c=1 d=0.0026189 t=56430
can kao 	參考	c=8 d=1.6151 t=56430
can ku 	殘酷	c=1 d=9.80866e-09 t=56430
can le 	慘了	c=3 d=1.4833 t=56430
can liu 	殘留	c=1 d=0.744532 t=56430
can shu 	參數	c=596 d=11.0008 t=56430
can shu qian 	參數前	c=1 d=0.0123389 t=56430
can shu zhi 	參數值	c=5 d=0.0391639 t=56430
can ting 	餐廳	c=2 d=3.88002e-08 t=56430
can yue 	參閱	c=1 d=0.00263203 t=56430
can zhuo 	餐桌	c=1 d=0.318224 t=56430
cang 	倉	c=1 d=0.794534 t=56430
cang er 	蒼耳	c=1 d=0.0029528 t=56430
cang ku 	倉庫	c=60 d=7.6579 t=56430
cao 	艹	c=2 d=0.0342209 t=56430
cao cuo 	艹錯	c=1 d=0.759572 t=56430
cao gao 	草稿	c=1 d=2.40133e-12 t=56430
cao she 	操射	c=1 d=0.101266 t=56430
cao wu 	草烏	c=0 d=2.9043e-15 t=56430
cao wu jia su pian 	草烏甲素片	c=1 d=2.91885e-14 t=56430
cao yuan 	草原	c=0 d=4.11005e-12 t=56430
cao zuo 	操作	c=55 d=5.53696 t=56430
cao zuo cheng gong 	操作成功	c=1 d=0.00562801 t=56430
ce 	嫧	c=1 d=0.0131019 t=56430
ce 	測	c=4 d=0.00740944 t=56430
ce guo 	測過	c=1 d=0.000132358 t=56430
ce le 	測了	c=1 d=1.17208e-15 t=56430
ce lo 	測咯	c=1 d=0.918512 t=56430
ce lun 	策論	c=2 d=0.88724 t=56430
ce lve 	策略	c=41 d=8.51675 t=56430
ce shi 	測試	c=82 d=3.81662 t=56430
ce shi de 	測試的	c=1 d=2.53796e-16 t=56430
ce shi huan jing 	測試環境	c=2 d=0.895852 t=56430
ce shi lei 	測試類	c=1 d=0.0151463 t=56430
ce shi xiang mu 	測試項目	c=1 d=2.58835e-12 t=56430
ce su 	測速	c=20 d=7.62029 t=56430
ce suo 	廁所	c=1 d=0.0361528 t=56430
ce yi xia 	測一下	c=1 d=0.000249763 t=56430
ceng 	層	c=16 d=0.511289 t=56430
ceng 	曾	c=0 d=0.00439369 t=56430
ceng ji 	層級	c=4 d=0.0228302 t=56430
ceng mian 	層面	c=1 d=0.00711891 t=56430
ceng shu 	層數	c=2 d=0.000107936 t=56430
cha 	叉	c=1 d=0.869358 t=56430
cha 	差	c=5 d=0.317811 t=56430
cha 	查	c=6 d=0.430467 t=56430
cha 	茶	c=1 d=0.0357931 t=56430
cha bao 	茶包	c=1 d=0.000140543 t=56430
cha bie 	差別	c=1 d=3.95844e-11 t=56430
cha bu chu 	查不出	c=2 d=0.125801 t=56430
cha bu duo 	差不多	c=2 d=0.596139 t=56430
cha chu 	查出	c=1 d=0.268474 t=56430
cha chu 	查處	c=8 d=0.379769 t=56430
cha chu lai 	查出來	c=0 d=0.0657047 t=56430
cha chu lai de 	查出來的	c=1 d=0.66034 t=56430
cha dao 	查到	c=2 d=0.0103063 t=56430
cha de 	差得	c=1 d=0.0420036 t=56430
cha de 	差的	c=1 d=0.0422141 t=56430
cha dian 	差點	c=1 d=0.904837 t=56430
cha gou 	查勾	c=1 d=0.891366 t=56430
cha jian 	插件	c=30 d=3.68539 t=56430
cha jing 	茶晶	c=1 d=2.76077e-06 t=56430
cha kan 	查看	c=72 d=12.3718 t=56430
cha ku 	查庫	c=1 d=0.843665 t=56430
cha le 	查了	c=4 d=0.29671 t=56430
cha qun 	查羣	c=1 d=0.000539429 t=56430
cha ru 	插入	c=19 d=1.03302 t=56430
cha xiang ying 	查響應	c=2 d=0.00278085 t=56430
cha xu 	插敘	c=2 d=0.156453 t=56430
cha xun 	查詢	c=440 d=7.86887 t=56430
cha xun de 	查詢的	c=1 d=0.941765 t=56430
cha xun lei 	查詢類	c=2 d=0.0397558 t=56430
cha xun zu 	查詢組	c=1 d=0.173774 t=56430
cha yi 	差異	c=1 d=0.0535261 t=56430
cha zhao 	查找	c=45 d=6.22287 t=56430
cha zhao chu de 	查找出的	c=1 d=0.13332 t=56430
cha zhao de 	查找的	c=1 d=0.00615802 t=56430
cha zhao mo shi 	查找模式	c=1 d=0.486752 t=56430
chai 	拆	c=6 d=0.0422141 t=56430
chai chai 	柴柴	c=1 d=1.10382e-15 t=56430
chai fen 	拆分	c=15 d=1.49757 t=56430
chai huo 	柴火	c=1 d=0.0520787 t=56430
chai jia 	拆家	c=1 d=0.105928 t=56430
chai mi 	柴米	c=1 d=0.209088 t=56430
chai niao 	拆鳥	c=1 d=0.164474 t=56430
chan 	產	c=1 d=0.139457 t=56430
chan chu 	產出	c=1 d=7.48773e-09 t=56430
chan pin 	產品	c=5 d=0.733058 t=56430
chan sheng 	產生	c=1 d=0.0505395 t=56430
chan wu 	產物	c=4 d=1.46829e-06 t=56430
chang 	唱	c=1 d=0.098855 t=56430
chang 	腸	c=1 d=1 t=56082
chang 	長	c=6 d=0.195002 t=56430
chang an 	長安	c=1 d=6.2726e-14 t=56430
chang chun 	長春	c=3 d=0.131336 t=56430
chang du 	長度	c=11 d=0.899973 t=56430
chang fang xing 	長方形	c=1 d=0.878095 t=56430
chang ge 	唱歌	c=2 d=0.000784392 t=56430
chang gui 	常規	c=3 d=0.000685748 t=56430
chang jia 	廠家	c=3 d=0.142987 t=56430
chang jian 	常見	c=4 d=0.024974 t=56430
chang jie tu 	長截圖	c=1 d=0.0596059 t=56430
chang jing 	場景	c=4 d=4.8091e-06 t=56430
chang kuan 	長寬	c=1 d=0.000149233 t=56430
chang le 	長了	c=1 d=0.57695 t=56430
chang lian jie 	長連接	c=1 d=0.0129715 t=56430
chang liang 	常量	c=9 d=0.683309 t=56430
chang liang lei 	常量類	c=2 d=1.15404e-09 t=56430
chang qi 	長期	c=1 d=1.95019e-05 t=56430
chang sha 	長沙	c=1 d=0.205975 t=56430
chang shang 	廠商	c=1 d=0.0432828 t=56430
chang shi 	嘗試	c=20 d=4.13106 t=56430
chang shi guo 	嘗試過	c=1 d=0.133989 t=56430
chang shi jian 	長時間	c=1 d=9.61117e-05 t=56430
chang wei 	腸胃	c=1 d=0.000800719 t=56430
chang xian 	長線	c=0 d=1.05235e-13 t=56430
chang yi dian 	長一點	c=1 d=0.000128446 t=56430
chang yong 	常用	c=6 d=0.857367 t=56430
chang yong de 	常用的	c=1 d=0.00192083 t=56430
chao 	吵	c=1 d=0.0127784 t=56430
chao 	炒	c=2 d=0.860708 t=56430
chao chu 	超出	c=2 d=0.36789 t=56430
chao chu le 	超出了	c=1 d=0.0123389 t=56430
chao guo 	超過	c=3 d=0.78946 t=56430
chao ji 	超級	c=2 d=0.13466 t=56430
chao ji dan 	炒雞蛋	c=1 d=0.000367055 t=56430
chao jia 	超假	c=5 d=0.000318758 t=56430
chao rou 	炒肉	c=2 d=0.97531 t=56430
chao rou pian 	炒肉片	c=1 d=0.00447164 t=56430
chao shi 	潮溼	c=1 d=0.00236968 t=56430
chao shi 	超市	c=5 d=0.264578 t=56430
chao shi 	超時	c=17 d=1.33283 t=56430
chao su 	超速	c=9 d=1.50848 t=56430
chao su ji lu 	超速記錄	c=1 d=0.13466 t=56430
chao wo 	吵我	c=1 d=0.00202943 t=56430
chao xi 	抄襲	c=1 d=3.36675e-17 t=56430
chao xia 	朝下	c=1 d=0.0731678 t=56430
chao xing 	吵醒	c=1 d=0.00336274 t=56430
che 	車	c=1 d=0.174645 t=56430
che chang 	車場	c=1 d=0.00436124 t=56430
che di 	徹底	c=1 d=0.0127147 t=56430
che hui 	撤回	c=1 d=0.000332125 t=56430
che liang 	車輛	c=14 d=0.564401 t=56430
che pai 	車牌	c=0 d=0.010383 t=56430
che wei 	車位	c=1 d=0.479505 t=56430
che xiao 	撤銷	c=3 d=0.217977 t=56430
che xiao le 	撤銷了	c=1 d=0.105399 t=56430
che zhan 	車站	c=1 d=0.0212797 t=56430
chen 	陳	c=2 d=0.90478 t=56430
chen jin 	沉浸	c=0 d=0.0923116 t=56430
chen jin shi 	沉浸式	c=2 d=0.927743 t=56430
cheng 	城	c=1 d=0.0968105 t=56430
cheng 	成	c=70 d=7.56795 t=56430
cheng 	承	c=1 d=0.0620385 t=56430
cheng 	撐	c=2 d=0.0898153 t=56430
cheng 	程	c=1 d=0.167797 t=56430
cheng 	稱	c=5 d=1.48691 t=56430
cheng ben 	成本	c=5 d=0.368604 t=56430
cheng beng 	成崩	c=1 d=0.0862936 t=56430
cheng dao 	撐到	c=1 d=0.000278804 t=56430
cheng du 	程度	c=3 d=0.244146 t=56430
cheng gong 	成功	c=76 d=0.879948 t=56430
cheng gong le 	成功了	c=1 d=0.0278771 t=56430
cheng se 	橙色	c=2 d=0.870371 t=56430
cheng wei 	成爲	c=1 d=0.062662 t=56430
cheng xing 	成行	c=1 d=0.180866 t=56430
cheng xu 	程序	c=22 d=3.02702 t=56430
cheng xu yuan 	程序員	c=3 d=0.680845 t=56430
cheng xun shi 	成巡視	c=1 d=0.0194482 t=56430
cheng yin 	成因	c=1 d=0.0278757 t=56430
cheng yuan 	成員	c=2 d=0.0243554 t=56430
cheng yuan bian liang 	成員變量	c=1 d=4.77276e-05 t=56430
cheng zi 	橙子	c=1 d=0.431711 t=56430
chi 	喫	c=18 d=1.89863 t=56430
chi 	池	c=1 d=3.46032e-17 t=56430
chi 	翅	c=2 d=1.01226 t=56430
chi ba 	喫吧	c=1 d=0.244143 t=56430
chi cun 	尺寸	c=2 d=0.0221491 t=56430
chi dao 	遲到	c=2 d=5.88805e-05 t=56430
chi de 	喫得	c=1 d=0.421052 t=56430
chi de 	喫的	c=1 d=0.236928 t=56430
chi diao 	喫掉	c=1 d=0.165299 t=56430
chi fan 	喫飯	c=2 d=0.701201 t=56430
chi fan le 	喫飯了	c=1 d=0.00423234 t=56430
chi fan lo 	喫飯咯	c=1 d=0.0231676 t=56430
chi jiu 	持久	c=1 d=0.00493237 t=56430
chi jiu hua 	持久化	c=13 d=1.64517 t=56430
chi jiu hua 	持久話	c=1 d=0.0247235 t=56430
chi la 	喫辣	c=1 d=5.91757e-05 t=56430
chi le 	喫了	c=4 d=1.12911 t=56430
chi le ma 	喫了嗎	c=1 d=0.97531 t=56430
chi shen me 	喫什麼	c=6 d=0.836519 t=56430
chi wan 	喫完	c=1 d=0.22313 t=56430
chi xia qu 	喫下去	c=0 d=0.0242926 t=56430
chi xu 	持續	c=3 d=0.00497069 t=56430
chi yi bu fen 	喫一部分	c=1 d=0.499074 t=56430
chi you 	持有	c=1 d=1.95996e-05 t=56430
chong 	充	c=2 d=0.778801 t=56430
chong 	衝	c=2 d=0.00182715 t=56430
chong chong 	重重	c=0 d=0.0904837 t=56430
chong dian 	充電	c=4 d=2.17648 t=56430
chong ding xiang 	重定向	c=10 d=0.923116 t=56430
chong fen 	充分	c=1 d=0.650509 t=56430
chong fu 	重複	c=48 d=3.81459 t=56430
chong fu de 	重複的	c=1 d=0.108067 t=56430
chong fu xing 	重複性	c=1 d=2.24478e-13 t=56430
chong gou 	重構	c=50 d=2.21573 t=56430
chong gou hou 	重構後	c=1 d=0.852144 t=56430
chong jin 	重進	c=1 d=7.35596e-06 t=56430
chong ku 	衝庫	c=1 d=6.03917e-09 t=56430
chong le 	充了	c=1 d=1.76947e-08 t=56430
chong mian kong 	衝面孔	c=1 d=2.30717e-12 t=56430
chong ming 	重名	c=17 d=2.0676 t=56430
chong ming ming 	重命名	c=27 d=2.07166 t=56430
chong pai 	重排	c=1 d=0.554327 t=56430
chong qi 	重啓	c=13 d=5.66223 t=56430
chong shi 	重試	c=5 d=0.91333 t=56430
chong shi ci shu 	重試次數	c=2 d=0.436049 t=56430
chong tu 	衝突	c=17 d=2.08642 t=56430
chong xie 	重寫	c=8 d=0.957604 t=56430
chong xin 	重新	c=34 d=2.75807 t=56430
chong yong 	重用	c=1 d=0.479505 t=56430
chong zai 	重載	c=1 d=1 t=56266
chong zeng zi 	充增資	c=1 d=0.985112 t=56430
chong zhi 	充值	c=4 d=0.8287 t=56430
chong zhi 	重置	c=14 d=0.510791 t=56430
chong zhuang 	重裝	c=2 d=2.82715e-06 t=56430
chou 	丑	c=1 d=0.612626 t=56430
chou 	抽	c=1 d=0.305032 t=56430
chou 	臭	c=2 d=0.246597 t=56430
chou feng 	抽風	c=2 d=0.299692 t=56430
chou le 	臭了	c=0 d=0.00203434 t=56430
chou li 	抽離	c=1 d=0.0417941 t=56430
chou ling long 	臭玲瓏	c=2 d=0.062662 t=56430
chou qu 	抽取	c=8 d=0.927938 t=56430
chou shen me 	臭什麼	c=1 d=0.0593087 t=56430
chou te zheng 	抽特徵	c=1 d=0.0833256 t=56430
chou ti 	抽屜	c=21 d=5.89117e-06 t=56430
chou wo 	抽我	c=2 d=1.66637 t=56430
chou xiang 	抽象	c=2 d=1.78747 t=56430
chou xiang lei 	抽象類	c=9 d=0.0205478 t=56430
chou xun 	抽尋	c=1 d=2.8175e-10 t=56430
chu 	出	c=39 d=4.7984 t=56430
chu 	處	c=1 d=0.238116 t=56430
chu 	除	c=2 d=1.75195 t=56430
chu bu jin 	除不盡	c=1 d=2.2049e-08 t=56430
chu chai 	出差	c=1 d=0.0424257 t=56430
chu chu 	出處	c=0 d=1.05235e-13 t=56430
chu chu chang xian 	出處長線	c=3 d=0.582748 t=56430
chu ci 	初次	c=1 d=0.187308 t=56430
chu cuo 	出錯	c=31 d=1.65373 t=56430
chu cuo hou 	出錯後	c=1 d=1.00102e-12 t=56430
chu cuo le 	出錯了	c=1 d=0.810584 t=56430
chu cuo ma 	出錯嗎	c=1 d=2.9533e-05 t=56430
chu de 	出的	c=2 d=0.0132857 t=56430
chu di 	鋤地	c=2 d=0.0775523 t=56430
chu fa 	觸發	c=24 d=1.51832 t=56430
chu fa 	除法	c=1 d=0.683861 t=56430
chu fa da ka 	觸發打卡	c=2 d=0.0165727 t=56430
chu fa hou 	觸發後	c=1 d=7.50584e-08 t=56430
chu fa qi 	觸發器	c=2 d=1.47281e-07 t=56430
chu fang 	廚房	c=1 d=0.0443785 t=56430
chu fei 	除非	c=1 d=0.522046 t=56430
chu he han jie 	楚河漢街	c=1 d=0.0639279 t=56430
chu lai 	出來	c=10 d=2.26413 t=56430
chu lai de 	出來的	c=4 d=0.319521 t=56430
chu le 	除了	c=5 d=0.148086 t=56430
chu li 	處理	c=63 d=2.5644 t=56430
chu li de 	處理得	c=1 d=0.177284 t=56430
chu li qi 	處理器	c=11 d=0.748847 t=56430
chu li zhong 	處理中	c=4 d=1.35144e-13 t=56430
chu men 	出門	c=3 d=0.125556 t=56430
chu qu 	出去	c=7 d=2.77868 t=56430
chu qu chi 	出去喫	c=1 d=0.0057994 t=56430
chu qu wan 	出去玩	c=0 d=0.00322254 t=56430
chu ru 	出入	c=7 d=0.123076 t=56430
chu ru ji lu 	出入記錄	c=2 d=0.126818 t=56430
chu shi 	初始	c=4 d=1.71259 t=56430
chu shi hua 	初始化	c=76 d=3.47102 t=56430
chu shi hua qi 	初始化器	c=4 d=3.37904 t=56430
chu xian 	出現	c=48 d=4.51528 t=56430
chu xian le 	出現了	c=1 d=1.50861e-14 t=56430
chu xian zai 	出現在	c=1 d=1.95524e-06 t=56430
chu xing 	出行	c=1 d=0.156453 t=56430
chu yi chang 	出異常	c=1 d=4.97262e-17 t=56430
chu zai 	處在	c=1 d=2.13937e-06 t=56430
chu zhen 	楚臻	c=5 d=0.262288 t=56430
chua yong 	欻用	c=1 d=0.0652193 t=56430
chuan 	串	c=4 d=0.603506 t=56430
chuan 	傳	c=14 d=0.660687 t=56430
chuan 	穿	c=1 d=1.09656 t=55982
chuan bo 	傳播	c=1 d=6.14944e-16 t=56430
chuan can 	傳參	c=8 d=0.965605 t=56430
chuan can 	傳慘	c=13 d=2.41494 t=56430
chuan chu 	傳出	c=1 d=0.120633 t=56430
chuan dai 	穿戴	c=1 d=0.000395642 t=56430
chuan dao 	傳到	c=1 d=2.68657e-09 t=56430
chuan di 	傳遞	c=27 d=4.19309 t=56430
chuan duo le 	穿多了	c=1 d=1 t=55976
chuan gan 	傳感	c=1 d=4.14064e-10 t=56430
chuan gan qi 	傳感器	c=3 d=1.62932 t=56430
chuan jin 	傳僅	c=1 d=2.93958e-09 t=56430
chuan kou 	串口	c=26 d=2.50208 t=56430
chuan kou hao 	串口號	c=1 d=0.0157644 t=56430
chuan lai 	傳來	c=0 d=1.6957e-08 t=56430
chuan lai de 	傳來的	c=1 d=1.7042e-07 t=56430
chuan le 	傳了	c=3 d=0.615646 t=56430
chuan le 	穿了	c=1 d=0.0195457 t=56430
chuan ru 	傳入	c=5 d=0.778801 t=56430
chuan shu 	傳輸	c=3 d=0.000280232 t=56430
chuan song 	傳送	c=1 d=0.38868 t=56430
chuan ti 	船體	c=1 d=0.0128424 t=56430
chuan tong 	傳統	c=1 d=7.52654e-11 t=56430
chuan tou 	穿透	c=1 d=0.143704 t=56430
chuan xiao 	傳銷	c=1 d=2.47446e-12 t=56430
chuan xing 	串行	c=2 d=0.052802 t=56430
chuan zhe 	穿着	c=1 d=0.00744658 t=56430
chuang 	窗	c=0 d=0.000311976 t=56430
chuang dan 	牀單	c=1 d=0.985112 t=56430
chuang jian 	創建	c=114 d=6.66763 t=56430
chuang jian de 	創建的	c=2 d=0.690734 t=56430
chuang jian ren 	創建人	c=3 d=0.119433 t=56430
chuang jian shi jian 	創建時間	c=1 d=0.118838 t=56430
chuang jian tong 	創建桶	c=1 d=0.00582847 t=56430
chuang jian wan 	創建完	c=1 d=2.96912e-09 t=56430
chuang kou 	窗口	c=33 d=7.15966 t=56430
chuang li 	創立	c=0 d=0.0980199 t=56430
chuang ru 	闖入	c=11 d=0.181896 t=56430
chuang ti 	窗體	c=1 d=0.396531 t=56430
chuang ye 	創業	c=0 d=1.02919e-16 t=56430
chuang zao 	創造	c=0 d=0.000128115 t=56430
chuang zao shou ru 	創造收入	c=1 d=0.00128757 t=56430
chui 	吹	c=0 d=0.0965605 t=56430
chui de hua 	吹的話	c=1 d=0.970446 t=56430
chui zhi 	垂直	c=2 d=2.41046e-09 t=56430
chun 	純	c=5 d=0.344742 t=56430
chun jing 	純淨	c=2 d=0.0209629 t=56430
chun jing tai 	純靜態	c=1 d=0.909373 t=56430
chun se 	純色	c=1 d=0.000116806 t=56430
chun tian 	春天	c=1 d=0.0325493 t=56430
chuo 	戳	c=2 d=0.0108111 t=56430
ci 	次	c=1 d=0.731921 t=56430
ci 	此	c=14 d=2.13784 t=56430
ci 	詞	c=3 d=0.241724 t=56430
ci an zhuang 	此安裝	c=1 d=6.02255e-06 t=56430
ci chu 	此處	c=3 d=1.31753 t=56430
ci ci 	此次	c=3 d=0.0277367 t=56430
ci ji 	刺激	c=1 d=0.136695 t=56430
ci jie kou 	此接口	c=2 d=0.941765 t=56430
ci ku 	詞庫	c=2 d=0.00315111 t=56430
ci li 	此例	c=1 d=9.90387e-05 t=56430
ci pan 	磁盤	c=5 d=0.499708 t=56430
ci qi 	瓷器	c=0 d=0.0697676 t=56430
ci she bei 	此設備	c=1 d=0.00190171 t=56430
ci shi 	此時	c=4 d=0.919403 t=56430
ci shu 	次數	c=12 d=0.930967 t=56430
ci wen jian 	此文件	c=1 d=1.12554e-09 t=56430
ci xing 	磁性	c=0 d=0.00356146 t=56430
cong 	從	c=80 d=4.47423 t=56430
cong er 	從而	c=1 d=0.0411719 t=56430
cong ling 	蔥嶺	c=1 d=2.43762e-12 t=56430
cong ling kai shi 	從零開始	c=1 d=2.44984e-12 t=56430
cong mo ban 	從模板	c=1 d=0.0735345 t=56430
cong shang mian de 	從上面的	c=1 d=8.33681e-08 t=56430
cong shao 	蔥燒	c=2 d=0.107564 t=56430
cong zhan 	從站	c=43 d=3.18826 t=56430
cong zhan hao 	從站好	c=2 d=0.0385808 t=56430
cong zhan hao 	從站號	c=3 d=0.816442 t=56430
cong zhong xin ku 	從中心庫	c=2 d=2.62192e-20 t=56430
cou 	湊	c=1 d=0.159614 t=56430
cu ti 	粗體	c=1 d=0.985112 t=56430
cuan 	竄	c=0 d=0.0064894 t=56430
cuan en ao tuo rong 	竄恩奧拓容	c=1 d=0.0652193 t=56430
cui jiang zhen 	催將真	c=1 d=0.343009 t=56430
cui jiang zhen 	翠江鎮	c=4 d=2.46412 t=56430
cun 	存	c=1 d=4.79995e-13 t=56430
cun 	村	c=3 d=0.0955875 t=56430
cun chu 	存儲	c=39 d=3.56904 t=56430
cun chu de 	存儲的	c=1 d=0.203926 t=56430
cun chu ku 	存儲庫	c=1 d=2.36557e-12 t=56430
cun chu wei 	存儲爲	c=1 d=0.0374406 t=56430
cun fang 	存放	c=7 d=2.43119 t=56430
cun fang de 	存放的	c=1 d=5.45314e-14 t=56430
cun gui 	村規	c=2 d=1.60103 t=56430
cun le 	存了	c=1 d=0.000259956 t=56430
cun li 	村裏	c=3 d=1.4489 t=56430
cun ru 	存入	c=1 d=0.715338 t=56430
cun wu 	村務	c=1 d=0.00188279 t=56430
cun zai 	存在	c=81 d=5.18086 t=56430
cun zai shi 	存在是	c=1 d=1.34126e-13 t=56430
cuo 	錯	c=2 d=0.0103063 t=56430
cuo le 	錯了	c=3 d=1.46446 t=56430
cuo wu 	錯誤	c=89 d=2.78519 t=56430
cuo wu de 	錯誤的	c=2 d=0.00127476 t=56430
cuo wu ma 	錯誤碼	c=8 d=0.687289 t=56430
da 	大	c=20 d=3.66856 t=56430
da 	打	c=8 d=1.80966 t=56430
da 	搭	c=6 d=0.184987 t=56430
da 	答	c=1 d=0.57695 t=56430
da 	達	c=1 d=8.76723e-12 t=56430
da an 	答案	c=2 d=1.00056 t=56430
da bao 	打包	c=22 d=1.40984 t=56430
da ben dan 	大笨蛋	c=1 d=2.42463e-08 t=56430
